Marital_status,Application_mode,Application_order,Daytime_evening_attendance,Previous_qualification_grade,Mothers_qualification,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Status
1,1,5,1,135.0,37,124.9,1,0,1,0,0,18,6,6,6,13.666666666666666,0,6,6,6,13.333333333333334,0,1
1,1,5,1,132.0,37,120.3,1,0,1,0,1,18,7,7,7,13.75,0,8,9,8,14.47777777777778,0,1
1,1,1,1,135.0,1,134.3,1,0,1,0,0,19,5,7,5,14.2,2,5,7,5,13.8,0,1
1,1,4,1,115.0,3,111.5,1,1,0,0,0,19,7,10,4,11.96,0,7,7,0,0.0,0,0
1,53,1,1,130.0,38,128.8,0,0,1,0,0,21,10,12,8,12.875,0,9,14,5,13.4,0,0
1,1,4,1,133.1,1,110.0,1,0,1,0,0,20,0,0,0,0.0,0,0,0,0,0.0,0,1
2,39,1,0,130.0,37,113.5,1,0,1,0,0,36,6,0,0,0.0,0,6,0,0,0.0,0,0
4,39,1,1,133.1,37,160.0,0,0,1,0,0,43,18,19,18,14.63157894736842,0,13,14,13,14.23076923076923,1,1
1,18,1,1,123.0,19,117.4,1,0,1,0,0,19,6,0,0,0.0,0,6,0,0,0.0,0,0
1,51,1,1,130.0,3,122.2,0,1,1,0,0,20,10,12,10,13.0,0,11,11,11,12.272727272727272,0,1
1,1,2,1,122.0,37,118.2,1,0,1,0,0,19,6,0,0,0.0,0,6,0,0,0.0,0,0
1,1,1,1,113.0,1,106.7,1,0,1,0,0,20,6,15,4,14.2,0,6,17,4,13.25,0,0
1,1,5,1,111.0,3,108.2,1,0,1,0,0,20,7,9,6,13.266666666666666,0,7,10,5,12.3,0,0
1,17,2,1,133.1,19,107.0,1,0,1,0,0,20,7,12,6,11.666666666666666,0,7,10,3,13.0,0,1
1,1,1,1,142.0,37,136.1,1,0,1,0,0,18,6,8,6,13.857142857142858,0,6,6,6,15.0,0,1
1,17,2,1,123.0,1,115.3,1,0,1,0,1,18,5,9,3,13.0,0,5,11,3,11.0,0,1
1,1,1,1,131.0,19,139.8,1,0,1,0,0,19,5,6,5,13.4,0,5,5,5,12.8,0,1
1,1,3,1,158.0,1,157.0,1,0,1,0,0,18,6,6,6,12.666666666666666,0,6,7,6,12.571428571428571,0,1
1,17,2,1,122.0,37,131.0,1,0,1,0,0,18,7,7,6,12.516666666666666,1,7,7,6,12.516666666666666,1,0
1,43,1,1,130.0,38,100.0,0,0,1,0,0,20,7,11,6,11.616666666666667,0,7,7,7,13.0,0,1
1,17,1,1,154.0,19,140.4,1,0,1,0,1,20,6,13,2,10.0,0,6,12,4,10.75,0,1
1,17,1,1,120.0,19,113.4,0,0,1,0,0,20,5,11,3,10.333333333333334,0,5,10,3,10.666666666666666,0,1
1,1,2,1,140.0,37,137.0,0,0,1,0,0,18,5,12,5,13.142857142857142,2,5,6,5,11.4,0,1
1,1,1,1,127.0,2,121.8,0,0,1,0,0,18,5,5,5,12.6,0,5,5,5,14.0,0,1
1,17,1,1,133.1,1,131.0,1,0,1,0,0,21,6,12,3,11.0,0,6,12,2,11.0,0,0
1,1,2,1,120.0,19,118.6,1,0,1,0,0,19,5,8,5,10.8,0,5,9,4,11.25,2,1
1,1,1,1,137.0,3,122.3,0,0,1,0,0,19,0,0,0,0.0,0,0,0,0,0.0,0,0
1,1,1,1,131.0,38,127.9,0,0,1,0,1,19,5,5,5,12.8,0,5,5,5,14.2,0,1
1,1,1,1,130.0,19,121.3,1,0,1,0,0,19,6,15,6,14.166666666666666,0,6,13,6,12.2,0,1
1,17,6,1,122.0,1,117.1,1,0,1,0,0,19,7,12,5,12.1,0,7,0,0,0.0,0,0
1,44,1,1,160.0,37,160.0,1,0,1,0,0,20,6,7,6,14.166666666666666,0,6,17,5,13.77777777777778,0,1
1,1,1,1,146.0,19,145.3,1,0,1,0,1,18,6,8,5,12.8,0,6,7,5,13.4,0,1
1,17,3,1,131.0,1,122.6,1,0,1,0,0,18,6,7,6,13.0,0,6,6,6,13.666666666666666,0,1
1,17,6,1,132.0,1,128.0,1,0,1,0,0,19,7,7,7,13.467142857142855,0,8,9,8,15.011111111111113,0,1
1,1,3,1,138.0,19,124.9,1,0,1,0,1,18,7,9,7,13.2375,0,8,9,7,13.742857142857144,0,0
1,17,2,1,130.0,37,123.7,1,0,1,0,0,18,6,6,6,12.333333333333334,0,6,6,6,13.0,0,1
1,1,4,1,126.0,1,120.1,1,0,1,0,0,19,5,7,5,12.4,0,5,5,5,14.6,0,1
1,17,6,1,148.0,1,131.7,1,0,1,0,0,19,7,8,5,14.0,0,7,7,0,0.0,0,0
1,43,1,1,130.0,38,133.2,0,0,1,0,0,20,9,15,9,11.666666666666666,0,7,8,7,11.714285714285714,0,1
1,1,1,1,117.0,1,109.3,0,1,0,0,1,19,6,7,5,12.0,0,6,9,4,12.5,0,0
1,17,1,1,120.0,19,113.0,1,0,1,0,0,20,5,7,4,12.2,0,5,5,4,11.5,0,1
1,1,1,1,153.0,1,157.9,0,1,1,0,1,18,6,6,6,14.833333333333334,0,6,6,6,14.833333333333334,0,1
1,1,2,1,117.0,19,112.1,0,0,1,0,1,20,7,9,5,13.188,0,8,9,7,12.892857142857142,0,1
1,18,1,1,178.0,19,174.7,0,0,1,0,0,18,7,8,7,17.125,0,8,8,8,17.5875,0,1
1,1,5,1,129.0,37,128.8,1,0,1,0,0,19,7,7,6,12.666666666666666,0,7,7,6,12.666666666666666,0,1
1,1,6,1,116.0,19,110.1,1,0,1,0,1,19,6,8,6,12.666666666666666,0,6,10,5,12.0,0,1
1,51,1,1,99.0,3,99.7,1,1,0,0,0,22,5,8,0,0.0,0,5,7,0,0.0,0,1
1,1,3,1,135.0,1,121.0,1,0,1,0,1,19,6,7,6,11.333333333333334,0,6,6,6,11.5,0,1
1,1,3,1,141.0,19,131.7,1,0,1,0,1,19,7,10,7,13.605,0,8,11,8,12.33125,0,1
1,17,5,1,132.0,37,119.1,1,0,1,0,1,19,6,10,5,12.0,0,6,9,5,10.8,0,1
1,1,4,1,132.0,12,124.7,1,0,1,0,0,19,5,10,0,0.0,0,5,10,0,0.0,0,0
1,17,1,1,113.0,1,117.2,1,0,1,0,0,20,6,8,5,11.2,0,6,12,3,11.666666666666666,0,0
1,1,1,1,134.0,3,128.8,0,0,1,0,0,18,5,10,5,13.375,0,5,9,5,14.166666666666666,0,1
1,1,1,1,136.0,1,131.5,0,0,1,0,1,20,7,8,6,13.863333333333337,0,8,9,7,14.178571428571429,0,1
1,1,1,1,136.0,3,121.7,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0,0.0,0,1
1,1,1,1,129.0,1,123.4,0,0,1,0,0,19,5,6,5,12.4,0,5,6,5,13.4,0,1
1,17,1,1,138.0,38,124.7,1,0,1,0,0,18,6,11,3,12.333333333333334,0,6,10,5,10.833333333333334,0,1
1,1,1,1,137.0,37,132.8,1,0,1,0,0,18,6,7,6,13.333333333333334,0,6,8,5,11.8,0,1
1,43,1,1,115.0,3,108.7,1,0,1,0,0,21,6,10,3,12.666666666666666,0,6,12,3,10.0,0,0
1,1,1,1,129.0,38,138.1,0,0,1,0,0,19,6,8,6,12.0,0,6,10,4,11.5,0,0
1,1,1,1,131.0,38,126.5,0,0,1,0,1,18,5,5,5,10.6,0,5,5,5,11.8,0,1
1,17,2,1,133.0,1,127.4,1,0,1,0,1,18,6,8,6,12.25,0,6,7,6,11.857142857142858,0,1
1,1,3,1,125.0,19,123.6,1,0,1,0,0,20,6,10,4,11.0,0,6,9,6,11.833333333333334,0,1
1,39,1,0,120.0,1,122.0,0,0,1,0,1,24,6,11,5,11.0,0,6,9,5,12.6,0,1
1,1,1,1,128.0,19,118.2,0,0,1,0,0,19,6,6,6,13.166666666666666,0,6,9,6,13.0,0,0
1,1,1,1,127.0,19,123.9,1,0,1,0,1,18,7,9,7,12.855555555555554,0,8,12,7,12.761111111111113,0,1
1,1,2,1,134.0,19,125.8,1,0,1,0,0,18,7,8,7,14.91875,0,8,8,8,15.355,0,1
1,17,5,1,132.0,12,123.3,1,0,1,0,0,21,6,13,4,11.5,0,6,10,3,11.0,0,0
1,17,2,1,124.0,1,124.4,0,0,1,0,0,19,5,5,5,14.2,0,5,5,5,14.2,0,1
1,17,1,1,133.1,19,126.0,0,0,1,0,1,19,6,6,6,12.5,0,6,7,6,13.0,0,1
3,39,1,1,170.0,1,170.0,0,1,1,0,0,47,1,1,0,0.0,0,6,0,0,0.0,0,1
1,17,3,1,125.0,19,121.5,0,0,1,0,0,19,6,10,5,11.666666666666666,0,6,12,4,11.0,0,1
1,39,1,1,130.0,2,130.0,0,0,1,0,0,29,8,8,7,14.257142857142856,0,8,8,7,14.257142857142856,0,1
1,43,1,1,125.0,19,117.0,1,0,1,0,0,21,6,13,3,12.0,0,6,12,2,11.333333333333334,0,0
1,39,1,1,130.0,37,130.0,1,0,1,0,0,28,5,13,4,11.25,1,5,11,4,10.5,0,1
1,17,2,1,133.1,37,108.0,0,0,1,0,0,20,7,8,7,12.457142857142856,0,8,8,8,13.5625,0,1
1,17,1,1,131.0,2,132.3,1,0,1,0,0,19,7,7,6,11.683333333333332,0,7,7,6,11.683333333333332,0,1
1,42,1,0,150.0,19,148.0,0,0,1,0,0,26,6,10,3,11.666666666666666,0,6,8,5,12.0,0,1
1,17,2,1,125.0,37,122.6,1,1,0,0,0,20,6,8,4,11.75,0,6,6,6,13.166666666666666,0,0
1,1,1,1,131.0,37,123.0,1,0,1,0,1,18,5,6,3,11.666666666666666,0,5,6,4,13.5,0,1
1,39,1,1,130.0,37,102.5,0,0,1,0,0,27,6,9,5,13.2,0,6,10,5,12.0,0,1
1,1,2,1,123.0,34,113.3,1,0,1,0,0,20,7,8,4,11.95,0,7,8,4,11.95,0,0
1,1,5,1,141.0,37,133.0,1,0,1,0,0,18,6,8,5,12.4,0,6,12,5,10.4,0,0
1,7,1,1,140.0,1,140.0,0,0,1,0,0,33,7,8,6,14.35,0,8,10,6,14.583333333333334,0,0
1,43,1,1,140.0,3,128.3,1,0,1,0,0,35,21,21,21,12.61904761904762,0,19,19,19,12.789473684210526,0,1
1,44,1,0,140.0,37,140.0,0,0,1,0,1,26,6,7,6,12.666666666666666,0,6,7,6,13.166666666666666,1,1
1,39,1,1,133.1,19,104.0,0,1,0,0,0,27,6,6,5,12.0,0,6,6,0,0.0,0,0
1,18,3,1,131.0,1,122.3,1,0,0,0,0,19,6,6,6,12.166666666666666,0,6,6,0,0.0,0,0
1,17,2,1,143.0,1,135.0,0,0,1,0,0,20,6,0,0,0.0,0,6,0,0,0.0,0,0
1,18,2,1,132.0,3,119.1,1,1,0,0,0,20,5,9,3,10.0,0,5,9,3,10.571428571428571,0,0
1,43,1,1,143.0,1,126.6,0,1,0,0,0,21,10,18,8,11.5,0,6,12,4,10.0,0,1
1,17,3,1,141.0,38,129.0,1,0,1,0,1,18,7,7,6,13.05,0,7,7,6,13.05,0,1
1,39,1,1,133.1,1,162.3,1,0,1,0,0,24,6,10,2,11.0,0,6,6,0,0.0,0,0
1,17,4,1,148.0,1,163.4,1,0,1,0,0,20,6,7,6,11.5,0,6,6,6,12.0,0,1
1,1,1,1,125.0,19,121.5,0,0,1,0,1,21,6,7,6,12.0,0,6,6,6,12.5,0,1
1,1,1,0,120.0,1,122.8,0,0,1,0,0,23,6,13,2,10.0,0,5,12,1,10.0,0,1
1,39,1,1,140.0,12,118.0,1,0,1,0,0,24,5,5,0,0.0,0,5,5,0,0.0,0,0
1,51,1,1,139.0,1,134.0,0,0,1,0,0,21,6,0,0,0.0,0,6,0,0,0.0,0,0
1,1,4,1,142.0,38,129.8,1,0,1,0,0,18,8,8,7,12.242857142857144,0,8,8,7,12.242857142857144,0,1
1,39,1,0,130.0,19,152.0,1,0,1,0,0,27,5,0,0,0.0,0,5,0,0,0.0,0,0
1,18,6,1,126.0,37,122.8,1,0,1,0,0,18,8,8,8,12.93375,0,8,8,8,12.93375,0,1
1,7,1,1,150.0,3,150.0,0,0,1,0,0,35,5,0,0,0.0,0,5,0,0,0.0,0,0
1,1,1,1,130.0,19,131.8,0,0,1,0,0,18,7,9,7,12.571428571428571,0,7,8,7,14.428571428571429,0,1
1,39,1,1,120.0,1,105.9,0,0,1,0,0,35,3,4,3,11.816666666666668,0,3,3,3,11.333333333333334,0,1
1,1,1,1,138.0,1,132.1,1,0,1,0,0,19,5,9,4,13.75,0,5,13,4,14.333333333333334,2,1
1,1,4,1,127.0,19,127.4,1,0,1,0,0,20,6,8,6,11.166666666666666,0,6,6,6,11.333333333333334,0,1
1,1,4,1,140.0,19,129.5,1,0,1,0,0,18,8,8,7,12.324285714285711,0,8,8,7,12.324285714285711,0,1
1,44,1,1,130.0,38,126.7,0,1,1,0,0,21,6,6,6,12.166666666666666,0,6,7,6,11.714285714285714,0,1
1,17,2,1,128.0,19,116.5,0,0,1,0,1,18,6,11,5,11.142857142857142,0,6,11,4,11.25,0,1
1,1,1,1,132.0,34,119.1,1,0,1,0,0,18,6,9,4,11.0,0,6,9,4,10.75,0,1
1,1,2,1,149.0,19,126.5,1,0,1,0,0,18,8,8,7,12.914285714285713,0,8,8,7,12.914285714285713,0,1
1,1,4,1,155.0,3,149.8,1,0,1,0,1,18,6,6,6,13.833333333333334,0,6,6,6,14.166666666666666,0,1
1,1,1,1,120.0,19,115.1,1,0,1,0,0,19,6,8,6,13.857142857142858,0,6,9,5,13.4,0,1
1,39,1,1,133.1,3,124.5,0,0,1,0,1,36,6,7,6,13.714285714285714,0,6,6,5,12.8,0,0
1,1,2,1,131.0,38,128.3,1,0,1,0,1,18,8,8,7,12.642857142857142,0,8,8,7,12.642857142857142,0,1
1,1,1,1,149.0,37,136.0,0,0,1,0,1,18,7,7,6,12.916666666666666,0,7,7,6,12.916666666666666,0,1
1,43,1,1,140.0,1,140.0,1,0,1,0,1,20,6,8,6,15.625,0,6,8,6,15.857142857142858,0,1
1,39,1,0,133.1,37,126.3,0,0,1,0,1,26,5,7,0,0.0,0,5,8,0,0.0,0,0
1,43,1,1,122.0,1,126.9,0,0,1,0,0,21,6,8,6,11.714285714285714,0,6,7,6,12.0,0,1
1,39,1,1,130.0,1,145.0,0,0,1,0,0,25,7,10,6,12.125,0,8,9,8,13.3125,0,1
1,18,1,1,121.0,19,115.8,1,0,1,0,1,19,5,7,5,11.6,0,5,5,5,11.6,0,1
1,39,1,0,120.0,19,100.0,1,0,1,0,0,24,6,11,1,10.0,0,6,6,0,0.0,6,0
1,39,1,0,133.1,1,102.5,0,0,1,0,1,27,6,16,1,10.0,0,6,13,0,0.0,0,0
1,17,1,1,121.0,19,131.5,0,0,1,0,0,21,5,10,0,0.0,1,5,9,2,13.5,0,0
1,1,1,1,133.0,38,147.0,0,0,1,0,1,18,5,7,4,13.0,0,5,8,3,12.333333333333334,0,1
2,1,4,1,134.0,37,122.5,0,0,1,0,1,19,6,6,6,13.333333333333334,0,6,6,6,14.5,0,1
1,1,3,1,115.0,1,117.5,1,0,1,0,0,18,6,9,4,11.25,0,6,13,2,12.5,0,0
1,51,1,1,127.0,19,150.0,0,0,1,0,1,19,7,9,5,13.85,0,8,9,7,12.19285714285714,0,1
1,18,1,1,135.0,1,127.5,1,0,1,0,1,19,7,8,6,13.741666666666667,0,8,9,7,14.9125,0,1
2,7,1,0,140.0,40,140.0,0,0,1,0,0,33,6,7,6,15.333333333333334,0,5,5,5,15.8,0,1
2,7,1,1,130.0,1,130.0,0,0,1,0,0,45,5,6,5,11.0,0,5,5,5,13.8,0,1
1,1,1,1,135.0,1,133.3,0,0,1,0,1,20,6,6,6,12.0,0,6,7,6,12.857142857142858,0,1
